"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify Component Deployment Observability","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Verify user can open MAN page","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - MAN Deployment Module","agent-studio\man-deployment\manDeployment.spec.ts","",""
"","0","Verify Component Deployment Observability","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Verify user can open Components page and see components list","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Components Module","agent-studio\components.spec.ts","",""
"","0","Verify user can login using Email + OTP","auth-chromium","2026-04-15","skipped","2026-04-15","Authentication – OTP Login","auth\login.otp.spec.js","",""
"","0","Wrong password should not login","auth-chromium","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Verify user can create new MAN","chromium","2026-04-15","skipped","2026-04-15","MAN - Create New","agent-studio\man\man.create.spec.ts","",""
"","0","Create Project","webkit","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","@regression Create Destination","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","Verify Total Users count is visible","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Delete Component","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","8","Invalid email format should not login","auth-chromium","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","1","Unregistered email should not login","auth-webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Edit Project","chromium","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","Verify Storage usage is visible","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","@regression Create Connection and Sync","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","@sanity Create Provider","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","@smoke @ui Verify ETL loads","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","Verify user can create a component","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Components","agent-studio\components\components.spec.ts","",""
"","0","Verify user can select project and flow","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","0","@regression Create Destination","chromium","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","66621","@smoke @ui Verify CPAAS loads","firefox","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","@regression Test Provider Connection","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","61050","@regression Create Template","firefox","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","@ui AGP-003 Verify Create Rule button is visible and enabled","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","Unregistered email should not login","webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","60835","@negative @regression AGP-004 Verify rule creation fails without required fields","firefox","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Verify user can login using Email + Password","auth-chromium","2026-04-15","skipped","2026-04-15","Authentication – Password Login","auth\login.password.spec.js","",""
"","1","has title","chromium","2026-04-15","skipped","2026-04-15","","example.spec.ts","",""
"","62536","@smoke @ui Verify CPAAS loads","webkit","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Verify user can open Components page and see components list","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Components Module","agent-studio\components.spec.ts","",""
"","61306","@sanity AGP-005 Verify file upload input exists","chromium","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","1","@regression @ui AGP-002 Verify user can create new AGP rule","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","61127","@smoke @ui Verify ETL module loads","chromium","2026-02-20","broken","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","has title","firefox","2026-04-15","skipped","2026-04-15","","example.spec.ts","",""
"","2719","@smoke Verify Components page loads","chromium","2026-02-24","failed","2026-02-24","Agent Studio – Components","agent-studio\components\components.spec.js","",""
"","0","Verify user can visit MAN page","webkit","2026-04-15","skipped","2026-04-15","MAN - Visit Page","agent-studio\man\man.visit.spec.ts","",""
"","0","@negative Invalid Port Test","webkit","2026-02-20","skipped","2026-02-20","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","2","@regression Create Connection and Sync","chromium","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","71124","@sanity Create Provider","firefox","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","@smoke Verify Total Projects count is visible","webkit","2026-02-24","skipped","2026-02-24","Agent Studio – Overview","agent-studio\overview\overview.spec.js","",""
"","0","Verify user can login using Email + Password","chromium","2026-04-15","skipped","2026-04-15","Authentication – Password Login","auth\login.password.spec.js","",""
"","1","@regression Create Destination","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","Verify Total Users count is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","1","@negative @regression AGP-004 Verify rule creation fails without required fields","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","Verify user can login using standard OTP","firefox","2026-04-15","skipped","2026-04-15","Login – Standard OTP","agent-studio\login.spec.ts","",""
"","1","Create Project","chromium","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","1","has title","webkit","2026-04-15","skipped","2026-04-15","","example.spec.ts","",""
"","60712","Verify Search Functionality","firefox","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","@regression Create Connection and Sync","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","1","@regression Create Connection and Sync","firefox","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","0","Verify Storage usage is visible","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","57713","Verify user can open AGP module","firefox","2026-02-19","passed","2026-02-19","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Wrong password should not login","auth-firefox","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Unregistered email should not login","auth-firefox","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Create Variant","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","Invalid email format should not login","firefox","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","@regression @ui AGP-002 Verify user can create new AGP rule","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","Create Variant","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","Verify Deployed Components count is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify user can login using standard OTP","webkit","2026-04-15","skipped","2026-04-15","Login – Standard OTP","agent-studio\login.spec.ts","",""
"","1","Verify Projects Observability","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Unregistered email should not login","chromium","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","4","Verify user can open Flow Deployment page","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","61385","@smoke @ui Verify CPAAS loads","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Verify Total Users count is visible","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify user can login using standard OTP","chromium","2026-04-15","skipped","2026-04-15","Login – Standard OTP","agent-studio\login.spec.ts","",""
"","1","@regression @ui AGP-002 Verify user can create new AGP rule","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
